"game_id","TEMPERATURE","WEATHER_CONDITION","WIND_SPEED","HUMIDITY","WIND_DIRECTION","created_date","create_user"
"120","78","Clear","7","58","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"99","54","Partly Cloudy","19","41","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"17","81","Overcast","0","79","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"261","20","Sunny","9","54","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"118","55","Sunny","19","51","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"15","73","Sunny","8","50","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"34","66","Partly Cloudy","14","64","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"13","84","Partly Cloudy","7","57","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"53","79","Partly Cloudy","4","42","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"32","57","Light rain","4","88","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"11","71","Sunny","8","57","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"51","72","Sunny","7","50","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"30","80","Partly Cloudy","0","17","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"70","61","Sunny","0","36","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"49","64","Overcast","4","88","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"28","70","Partly Cloudy","11","64","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"89","84","Sunny","0","40","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"68","73","Partly Cloudy","9","38","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"47","81","Partly Cloudy","4","54","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"87","63","Partly Cloudy","6","68","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"66","57","Partly Cloudy","13","44","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"106","55","Partly Cloudy","7","51","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"85","55","Overcast","6","72","NNE","2018-10-15 07:05:52.290000-04:00","mortimer"
"64","54","Partly Cloudy","14","50","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"83","84","Partly Cloudy","0","62","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"102","73","Partly Cloudy","9","61","WSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"81","88","Partly Cloudy","15","63","E","2018-10-15 07:05:52.290000-04:00","mortimer"
"264","41","Partly Cloudy","8","62","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"121","83","Clear","15","38","SSE","2018-10-15 07:05:52.290000-04:00","mortimer"
"100","41","Partly Cloudy","9","56","WNW","2018-10-15 07:05:52.290000-04:00","mortimer"
"262","48","Mist","0","87","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"119","61","Sunny","14","23","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"16","100","Partly Cloudy","7","29","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"117","84","Partly Cloudy","6","40","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"35","77","Partly Cloudy","15","61","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"14","77","Partly Cloudy","11","24","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"33","81","Clear","0","51","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"12","88","Partly Cloudy","4","49","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"31","79","Partly Cloudy","11","48","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"10","75","Partly Cloudy","8","48","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"71","71","Sunny","11","27","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"50","82","Partly Cloudy","6","70","NE","2018-10-15 07:05:52.290000-04:00","mortimer"
"29","63","Sunny","17","52","S","2018-10-15 07:05:52.290000-04:00","mortimer"
"69","54","Overcast","17","50","SW","2018-10-15 07:05:52.290000-04:00","mortimer"
"48","63","Clear","14","42","NW","2018-10-15 07:05:52.290000-04:00","mortimer"
"88","81","Partly Cloudy","4","58","ESE","2018-10-15 07:05:52.290000-04:00","mortimer"
"67","63","Partly Cloudy","12","36","SSW","2018-10-15 07:05:52.290000-04:00","mortimer"
"46","77","Sunny","7","47","SE","2018-10-15 07:05:52.290000-04:00","mortimer"
"107","69","Partly Cloudy","0","24","N","2018-10-15 07:05:52.290000-04:00","mortimer"
"86","70","Sunny","6","73","W","2018-10-15 07:05:52.290000-04:00","mortimer"
"105","70","Partly Cloudy","0","23","ENE","2018-10-15 07:05:52.290000-04:00","mortimer"
"82","63","Overcast","4","100","S","2018-10-15 07:05:52.290000-04:00","mortimer"
